date,id,sent_neg,sent_neu,sent_pos,sent_comp,topic_freq,topic_density
2018-12-29 13:00:00,2425117204345101197,0.118,0.809,0.072,-0.9967,1.0,0.0010030090270812437
2018-12-29 13:00:48,2578321188753098599,0.019,0.813,0.168,0.9998,1.0,0.0009940357852882703
2018-12-29 13:04:54,6482859471762953034,0.024,0.853,0.122,0.9901,1.0,0.0049504950495049506
2018-12-29 13:12:52,3927234357402879982,0.049,0.887,0.064,0.0613,0.0,0.0
2018-12-29 13:13:02,5908917756728035455,0.046,0.871,0.083,0.3265,0.0,0.0
2018-12-29 13:13:12,1228645251328025459,0.045,0.921,0.034,-0.2644,0.0,0.0
2018-12-29 13:13:23,7274902934945694198,0.046,0.871,0.083,0.3265,0.0,0.0
2018-12-29 13:13:33,1650539680870401089,0.07,0.856,0.074,-0.1436,0.0,0.0
2018-12-29 13:14:06,9191211994925439826,0.08,0.691,0.229,0.8289,0.0,0.0
2018-12-29 13:17:47,7381723874015076398,0.058,0.871,0.071,0.9283,3.0,0.005208333333333333
2018-12-29 13:30:00,6336734239933372545,0.031,0.758,0.21,0.9984,5.0,0.01607717041800643
2018-12-29 13:30:43,3530656829222139455,0.044,0.889,0.067,0.6963,2.0,0.007246376811594203
2018-12-29 13:32:04,1139278916241165639,0.051,0.912,0.038,-0.2644,0.0,0.0
2018-12-29 13:32:15,3390153212723389980,0.046,0.871,0.083,0.3265,0.0,0.0
2018-12-29 13:32:25,5916067534664339273,0.047,0.918,0.035,-0.2644,0.0,0.0
2018-12-29 13:32:35,1384577624732542228,0.045,0.905,0.051,-0.2626,0.0,0.0
2018-12-29 13:32:45,803506133871934661,0.047,0.918,0.035,-0.2644,0.0,0.0
2018-12-29 13:36:05,4752762999981107902,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 13:37:00,3821370267733533853,0.0,1.0,0.0,0.0,0.0,0.0
2018-12-29 13:39:56,1460242627119685151,0.138,0.795,0.067,-0.9877,0.0,0.0
2018-12-29 13:41:00,1167899188037333689,0.051,0.851,0.099,0.9934,3.0,0.005454545454545455
2018-12-29 13:43:28,7737897101928461195,0.042,0.815,0.144,0.9131,0.0,0.0
2018-12-29 13:52:06,2142004697220313089,0.049,0.887,0.064,0.0613,0.0,0.0
2018-12-29 13:52:16,5599022738253208397,0.049,0.887,0.064,0.0613,0.0,0.0
2018-12-29 13:52:27,162291438436527,0.045,0.905,0.051,-0.2626,0.0,0.0
2018-12-29 13:58:19,752952807356101792,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-29 14:00:00,5459049488934373767,0.034,0.823,0.143,0.9934,1.0,0.0038022813688212928
2018-12-29 14:00:00,6616341695506985134,0.031,0.81,0.159,0.9997,2.0,0.0018867924528301887
2018-12-29 14:00:11,5186286321356034027,0.011,0.902,0.087,0.9976,2.0,0.002890173410404624
2018-12-29 14:00:21,5530623357225573744,0.17,0.732,0.098,-0.9987,1.0,0.0013477088948787063
2018-12-29 14:01:41,5139734175495057536,0.0,0.818,0.182,0.9964,1.0,0.004739336492890996
2018-12-29 14:04:38,8549020819293572869,0.079,0.803,0.118,0.868,0.0,0.0
2018-12-29 14:07:00,1737362434258955734,0.274,0.476,0.25,-0.0516,0.0,0.0
2018-12-29 14:12:36,1289633619838280361,0.093,0.807,0.099,0.3489,1.0,0.006535947712418301
2018-12-29 14:13:52,3671889336179442212,0.0,0.883,0.117,0.994,1.0,0.004048582995951417
2018-12-29 14:19:09,7994682446604014082,0.018,0.855,0.128,0.9983,1.0,0.002150537634408602
2018-12-29 14:23:13,7278636101251933325,0.04,0.861,0.099,0.9776,0.0,0.0
2018-12-29 14:30:21,4470807784324405537,0.032,0.88,0.088,0.9858,3.0,0.007317073170731708
2018-12-29 14:39:34,2037457648689813403,0.033,0.779,0.188,0.9933,1.0,0.00641025641025641
2018-12-29 14:50:37,3902396954410653613,0.023,0.823,0.154,0.9967,1.0,0.002702702702702703
2018-12-29 14:52:11,2436451973329685664,0.066,0.829,0.105,0.211,0.0,0.0
2018-12-29 14:52:21,7323504418025838178,0.067,0.865,0.068,-0.2415,0.0,0.0
